,GroupId,SubgroupId,id,Departure,Arrival,Entrance,CheckinSum,nSubgroups,SubgroupSize,GroupSize,Thrill,Kiddie,Everybody,Pavilion,Beer Garden,Food,Shopping,Restroom,Lawn,Info,Arcade,First Aid,Stage,Show Hall,Thrill Time,Kiddie Time,Everybody Time,Pavilion Time,Beer Garden Time,Food Time,Shopping Time,Restroom Time,Lawn Time,Info Time,Arcade Time,First Aid Time,Stage Time,Show Hall Time,Entrance Time,Park Time
0,1,1,825652,2014-06-06 20:11:51,2014-06-06 08:00:16,1,643,1,2,2,10,7,6,1,1,3,5,2,1,0,0,0,1,0,0.9819444444444444,0.7797222222222222,0.7119444444444445,0.22861111111111113,0.20722222222222222,1.6480555555555556,1.6927777777777777,0.33666666666666667,0.5458333333333333,0,0.0,0.0,1.195,0.0,0.013333333333333334,12.179722222222223
1,2,2,179386,2014-06-06 20:15:47,2014-06-06 08:00:19,1,451,1,2,2,8,0,7,2,1,5,5,1,0,0,0,0,0,1,1.3802777777777777,0.0,1.6236111111111111,0.43166666666666664,0.5847222222222223,3.068611111111111,2.1180555555555554,0.2727777777777778,0.0,0,0.0,0.0,0.0,0.5202777777777777,0.01111111111111111,12.246666666666668
2,3,3,849521,2014-06-06 20:12:17,2014-06-06 08:00:31,1,600,1,2,2,8,3,1,4,3,3,3,1,1,0,0,0,1,1,1.0305555555555557,0.2963888888888889,0.12944444444444445,1.4047222222222222,1.6158333333333335,0.9269444444444445,0.9391666666666667,0.14305555555555557,0.4872222222222222,0,0.0,0.0,1.2491666666666668,0.8977777777777778,0.01361111111111111,12.182500000000001
3,4,4,398396,2014-06-06 22:43:16,2014-06-06 08:00:38,1,597,1,2,2,9,3,2,1,0,0,12,1,4,0,1,0,0,0,0.7713888888888889,0.35444444444444445,0.6541666666666667,0.1925,0.0,0.0,5.160833333333333,0.1277777777777778,1.4966666666666666,0,0.5622222222222223,0.0,0.0,0.0,0.01388888888888889,14.696666666666665
4,5,5,2007598,2014-06-06 22:25:10,2014-06-06 08:00:40,1,682,2,3,8,6,4,3,3,3,0,8,2,3,0,1,0,1,1,1.2527777777777778,0.30833333333333335,1.055,1.105,1.6700000000000002,0.0,2.4980555555555553,0.5241666666666667,0.9819444444444444,0,0.1311111111111111,0.0,1.1255555555555554,0.8794444444444445,0.01,14.398333333333333
5,5,6,1881823,2014-06-06 22:26:29,2014-06-06 08:00:40,1,1194,2,5,8,32,0,6,4,0,1,5,1,1,0,0,1,1,0,4.137222222222222,0.0,0.6327777777777778,0.9883333333333333,0.0,0.47805555555555557,2.075,0.2525,0.22,0,0.0,0.31444444444444447,1.2111111111111112,0.0,0.01,14.420277777777779
6,6,7,996258,2014-06-06 20:42:57,2014-06-06 08:00:49,1,416,1,2,2,3,2,2,1,4,1,4,1,1,0,2,0,0,2,0.19611111111111112,0.67,0.3163888888888889,0.46388888888888885,3.526388888888889,0.2127777777777778,1.5486111111111112,0.2836111111111111,0.18416666666666667,0,0.8355555555555555,0.0,0.0,1.7947222222222223,0.0125,12.689722222222223
7,7,8,160360,2014-06-06 21:16:06,2014-06-06 08:00:53,1,296,1,4,4,4,2,1,0,0,2,9,1,1,0,1,0,0,1,1.243611111111111,0.7658333333333334,0.07361111111111111,0.0,0.0,1.4986111111111111,4.030833333333333,0.2675,0.5227777777777778,0,0.2913888888888889,0.0,0.0,0.6905555555555555,0.01138888888888889,13.242222222222223
8,8,9,880166,2014-06-06 20:10:40,2014-06-06 08:00:54,1,320,1,3,3,5,2,2,0,3,0,7,1,0,0,1,0,1,1,2.0352777777777775,0.33416666666666667,0.14166666666666666,0.0,1.5705555555555555,0.0,3.0005555555555556,0.24694444444444444,0.0,0,0.20805555555555555,0.0,1.3322222222222222,0.7536111111111111,0.01111111111111111,12.151666666666667
9,9,10,11311,2014-06-06 22:31:23,2014-06-06 08:00:55,1,589,1,4,4,7,4,4,1,0,2,6,2,4,0,1,0,0,0,0.3775,0.36583333333333334,0.4425,0.6016666666666667,0.0,1.6741666666666668,3.2275,0.39361111111111113,1.393888888888889,0,1.053611111111111,0.0,0.0,0.0,0.01111111111111111,14.496666666666668
10,10,11,539617,2014-06-06 20:14:13,2014-06-06 08:00:55,1,364,2,1,3,9,3,3,1,1,9,5,1,0,0,0,0,0,0,1.5091666666666665,0.19416666666666668,0.4488888888888889,0.4286111111111111,0.1738888888888889,4.918611111111111,1.573888888888889,0.23666666666666666,0.0,0,0.0,0.0,0.0,0.0,0.01,12.211666666666666
11,10,12,698208,2014-06-06 20:16:38,2014-06-06 08:00:55,1,532,2,2,3,19,0,3,4,0,1,4,2,0,0,0,0,1,0,3.189722222222222,0.0,0.7805555555555556,1.123888888888889,0.0,0.5230555555555555,1.8075,0.4305555555555555,0.0,0,0.0,0.0,1.2661111111111112,0.0,0.01,12.251944444444446
12,11,13,1229412,2014-06-06 21:37:37,2014-06-06 08:00:59,1,554,2,2,7,4,6,5,3,2,1,9,4,1,0,1,0,1,0,0.3522222222222222,0.6113888888888889,0.5402777777777777,1.618611111111111,1.1513888888888888,0.6569444444444444,3.3827777777777777,0.7544444444444445,0.1525,0,0.1497222222222222,0.0,1.2752777777777777,0.0,0.008888888888888889,13.601666666666667
13,11,14,1696241,2014-06-06 21:39:56,2014-06-06 08:00:59,1,687,2,5,7,22,0,6,0,0,2,3,1,3,0,1,0,1,0,4.240555555555556,0.0,0.7266666666666667,0.0,0.0,1.2352777777777777,1.481111111111111,0.08888888888888888,1.0227777777777778,0,0.5658333333333334,0.0,1.1513888888888888,0.0,0.008888888888888889,13.64027777777778
